OriginalVariableNames,Var1
id_obj,1
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,35.5023029140001
Location_Point_Y,71.5528532421699
Density,0.1
WindSpeed,0
WindDirectionDegree,0
id_obj,2
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,19.6909146131582
Location_Point_Y,74.7151309023383
Density,0.1
WindSpeed,0
WindDirectionDegree,0
id_obj,3
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,26.015469933495
Location_Point_Y,77.8774085625066
Density,0.1
WindSpeed,0
WindDirectionDegree,0
id_obj,4
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,80.4002620976735
Location_Point_Y,80.4565958436663
Density,0.1
WindSpeed,0
WindDirectionDegree,0
