OriginalVariableNames,Var1
id_obj,1
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,84.7850542618522
Location_Point_Y,55.8113883008419
Density,0.1
id_obj,2
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,18.9736659610103
Location_Point_Y,59.4868329805051
Density,0.1
id_obj,3
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,37.9473319220205
Location_Point_Y,72.1359436211787
Density,0.1
id_obj,4
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,78.4604989415154
Location_Point_Y,68.4604989415154
Density,0.1
id_obj,5
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,41.1096095821889
Location_Point_Y,78.4604989415154
Density,0.1
id_obj,6
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,81.6227766016838
Location_Point_Y,93.7587202228624
Density,0.1
id_obj,7
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,34.7850542618522
Location_Point_Y,94.2718872423573
Density,0.1
id_obj,8
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,78.4604989415154
Location_Point_Y,90.5964425626941
Density,0.1
id_obj,9
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,91.1096095821889
Location_Point_Y,40
Density,0.1
id_obj,10
Obj_Sea,1
Obj_Air,1
Obj_Land,1
Location_Poly_X,
Location_Poly_Y,
Location_Point_X,37.9473319220205
Location_Point_Y,65.8113883008419
Density,0.1
